Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-05-20,$191.04,44361280,189.325,191.92,189.01,191.04,,,,191.04,191.04,191.04,,,0.0,0.0,0.0,,,,,,0.0,-0.048
2024-05-21,$192.35,42309400,191.09,192.73,190.92,192.35,,,,191.477,191.278,191.165,100.0,0.686,0.105,0.021,0.084,,,,,,42309400.0,-0.299
2024-05-22,$190.90,34648550,192.265,192.823,190.27,190.9,,,,191.284,191.209,191.14,92.154,-0.754,0.07,0.031,0.039,,,,,,7660850.0,0.039
2024-05-23,$186.88,51005920,190.98,191.0,186.625,186.88,,,,189.816,190.422,190.734,74.663,-2.106,-0.279,-0.031,-0.248,,,,,,-43345070.0,-0.171
2024-05-24,$189.98,36326980,188.82,190.58,188.04,189.98,190.23,,,189.871,190.342,190.662,78.113,1.659,-0.302,-0.085,-0.217,,,,,,-7018090.0,-0.125
2024-05-28,$189.99,52280050,191.51,193.0,189.1,189.99,190.02,,,189.911,190.278,190.598,78.123,0.005,-0.316,-0.131,-0.185,,,,,,45261960.0,-0.436
2024-05-29,$190.29,53068020,189.61,192.247,189.51,190.29,189.608,,,190.037,190.28,190.569,78.452,0.158,-0.299,-0.165,-0.134,,,,,,98329980.0,-0.045
2024-05-30,$191.29,49947940,190.76,192.18,190.63,191.29,189.686,,,190.455,190.464,190.637,79.556,0.526,-0.203,-0.173,-0.03,,,,,,148277920.0,-0.242
2024-05-31,$192.25,75158280,191.44,192.57,189.91,192.25,190.76,,,191.053,190.788,190.791,80.585,0.502,-0.048,-0.148,0.1,,,,,,223436200.0,0.253
2024-06-03,$194.03,50080540,192.9,194.99,192.52,194.03,191.57,190.9,,192.045,191.378,191.099,82.357,0.926,0.215,-0.075,0.29,,,,,,273516740.0,-0.977
2024-06-04,$194.35,47471450,194.635,195.32,193.034,194.35,192.442,191.231,,192.814,191.918,191.409,82.664,0.165,0.445,0.029,0.416,,,,,,320988190.0,0.117
2024-06-05,$195.87,54156790,195.4,196.9,194.87,195.87,193.558,191.583,,193.832,192.637,191.834,84.078,0.782,0.741,0.171,0.57,,,,,,375144980.0,-0.573
